,odpts
0,POINT (-84.81477829412928 41.16890687499123)
0,POINT (-85.32148145551864 41.115341507236586)
1,POINT (-84.89376392115913 41.04747490529242)
2,POINT (-84.99690373031812 40.96802041104306)
0,POINT (-84.97045693271109 41.1690259439569)
1,POINT (-84.8837393305181 41.093018332560746)
2,POINT (-85.17612333110988 41.260014003514705)
0,POINT (-85.24493717696686 40.978838800621205)
0,POINT (-85.28583000852647 40.9842757195511)
0,POINT (-84.8488576138096 41.21014677426079)
1,POINT (-85.05619914679342 41.00392973714961)
2,POINT (-85.08457723678593 41.09595541198417)
3,POINT (-85.09933450057663 41.16940245532004)
0,POINT (-85.18379767178276 41.242436537407634)
1,POINT (-84.81771620310104 40.97131730679627)
2,POINT (-85.04283696347227 41.24019074395056)
3,POINT (-85.09986375320942 41.12705479186324)
0,POINT (-85.29293389251798 41.06364564228568)
1,POINT (-85.27209979380969 41.04308773206053)
2,POINT (-85.036968963419 41.21581718372883)
0,POINT (-85.04050855395015 41.2550070201279)
1,POINT (-84.96485648677371 41.024847290039055)
0,POINT (-84.98049055080065 41.22001231872917)
0,POINT (-85.04352801268135 40.94189157913022)
1,POINT (-85.33020255794236 40.98913302095507)
2,POINT (-85.33355199043581 40.99260434438515)
3,POINT (-85.0608334042642 40.990933275230496)
0,POINT (-85.33000128773165 41.0452574702226)
0,POINT (-84.83855292352455 41.09992610261113)
1,POINT (-84.83690528519494 41.05357269349902)
2,POINT (-85.1902599962159 41.114915011479475)
0,POINT (-84.91072109811111 41.02779439320807)
1,POINT (-84.88247982255146 41.21922972078336)
0,POINT (-85.21604183373823 41.20730977812749)
0,POINT (-85.28339213795205 41.110444376694396)
1,POINT (-84.9797714051146 41.03940983772839)
2,POINT (-85.22780822057308 41.045459549681276)
3,POINT (-85.22043964980213 41.137593944753455)
0,POINT (-85.19579275971597 40.9898033713485)
1,POINT (-84.91555268880484 41.05674891750467)
0,POINT (-85.07064475422345 41.22031004005744)
0,POINT (-85.03118367857067 41.11287233839842)
0,POINT (-85.26862831007155 40.9302129162787)
0,POINT (-85.31916170929398 41.123511532987614)
1,POINT (-85.22348184404046 40.96265979764846)
2,POINT (-85.15510236633888 41.02208717602564)
0,POINT (-84.88832490124277 41.008806372832574)
0,POINT (-85.18674314195447 41.12783549974597)
1,POINT (-85.22683801648266 41.23465183355737)
2,POINT (-84.99746794363783 41.138017190998546)
3,POINT (-84.98233879795451 40.974137306914066)
0,POINT (-85.07415951632942 41.11716329084717)
0,POINT (-84.808678743394 40.985749940602346)
1,POINT (-85.05189022810062 41.180950694269825)
2,POINT (-85.0544506078772 40.987085226204364)
0,POINT (-84.88065782993087 40.946022266103505)
0,POINT (-85.80309868807531 39.20871423252973)
0,POINT (-85.70136424142288 39.17563416370227)
1,POINT (-85.81468503759085 39.101970163592156)
0,POINT (-86.0070987442005 39.06026844341948)
1,POINT (-85.82988949373913 39.15435048759366)
0,POINT (-85.88999188331087 39.232296887413)
0,POINT (-85.80137837775744 39.193134906383165)
1,POINT (-85.90165693359691 39.1759893843769)
0,POINT (-85.83287130550877 39.25258173705524)
0,POINT (-85.98246288800381 39.0540459323148)
1,POINT (-86.0318082875448 39.322254740840606)
0,POINT (-85.81988869218807 39.108176979741025)
0,POINT (-85.93109142604993 39.258939374957755)
0,POINT (-85.74513949550091 39.19873244436014)
0,POINT (-86.02502490623252 39.25721908895965)
0,POINT (-85.78559112721776 39.246374402295146)
0,POINT (-85.92963694339274 39.19010994072604)
1,POINT (-85.93496264643431 39.10061592681235)
0,POINT (-85.86365137185588 39.131320234215316)
1,POINT (-85.83104880429822 39.213409495173266)
0,POINT (-85.71701673949083 39.266940376768176)
0,POINT (-85.94454224362485 39.04503150094541)
1,POINT (-85.69883462230298 39.23175737027766)
0,POINT (-85.85112631583395 39.31746961662564)
0,POINT (-85.88283991182016 39.10010167902281)
1,POINT (-85.85011481249899 39.143765798783186)
0,POINT (-86.05636476663798 39.17545145292909)
1,POINT (-85.9765810335112 39.04841278695509)
0,POINT (-85.78500186878142 39.2432629642648)
1,POINT (-85.91127222472875 39.19919730338921)
0,POINT (-85.94864570117461 39.07266132225501)
1,POINT (-85.7819991161802 39.29054167243389)
0,POINT (-85.70884444851959 39.31471817875656)
0,POINT (-85.8431617809326 39.2767093500833)
0,POINT (-85.99184182669133 39.25477339458564)
0,POINT (-85.81292923591452 39.186734980369984)
1,POINT (-85.99319476235763 39.328011921499176)
0,POINT (-85.88395033399395 39.213665426024235)
0,POINT (-86.0355751697465 39.227136764406126)
1,POINT (-86.07147115954524 39.257254815826165)
0,POINT (-86.04588805709147 39.15810719210908)
0,POINT (-85.91274399402022 39.04133678350083)
0,POINT (-86.05304082756805 39.18173069668551)
1,POINT (-86.0647050112145 39.19705925643121)
0,POINT (-85.91327499322217 39.234929493205)
1,POINT (-85.85192401405729 39.16762588688071)
0,POINT (-86.00978565379543 39.256403573843)
0,POINT (-85.92555066127981 39.18785901747273)
1,POINT (-85.69133340846109 39.23585859656761)
0,POINT (-85.98118854336767 39.11997301622041)
0,POINT (-85.70099601215149 39.322349009316774)
1,POINT (-85.73036017513529 39.29918626510776)
0,POINT (-85.8567375508568 39.06250476270193)
0,POINT (-87.10270332565561 40.56430926022871)
1,POINT (-87.44311800721908 40.67691214739925)
0,POINT (-87.19600981474834 40.49057200043099)
0,POINT (-85.27785786284593 40.50918208525022)
1,POINT (-85.20386000521995 40.48855342793418)
0,POINT (-85.27393120972023 40.5479500211161)
0,POINT (-86.52408914369668 40.0510126816935)
1,POINT (-86.63419316546191 39.939144026284175)
0,POINT (-86.56656403830549 40.11201016614368)
1,POINT (-86.58800067842833 39.987886844254476)
0,POINT (-86.60082882258983 40.08927176019882)
0,POINT (-86.41322705749393 40.05635365388489)
1,POINT (-86.56971287457318 40.16966067396869)
0,POINT (-86.37843709881717 40.044645736314116)
0,POINT (-86.50000547533965 40.16758823114003)
1,POINT (-86.38599044732926 40.00757860673384)
2,POINT (-86.29630245413131 39.96257480297502)
0,POINT (-86.56046329759799 40.08832760984629)
1,POINT (-86.6057378793152 40.09396341358978)
0,POINT (-86.58948152429103 40.04760581116421)
1,POINT (-86.41452894858261 39.937932952084125)
2,POINT (-86.46505777757474 40.1092528134996)
0,POINT (-86.34875544649125 39.985091468405095)
1,POINT (-86.3279185363516 39.964826634084794)
2,POINT (-86.49486825511188 39.97603689521886)
0,POINT (-86.33891303932239 40.08196041754655)
1,POINT (-86.54020271074933 39.98857601393609)
2,POINT (-86.30794751806954 39.95003454143313)
0,POINT (-86.46686820249279 40.041581759359175)
1,POINT (-86.61670986733611 40.04566018243189)
2,POINT (-86.56609713503228 39.98325923002402)
0,POINT (-86.6726271245796 40.02652418508291)
0,POINT (-86.3289242768713 40.09419352439707)
0,POINT (-86.42512535225343 40.00425749238351)
1,POINT (-86.34398213354434 40.00299478921855)
2,POINT (-86.67434882197439 40.04810514746376)
3,POINT (-86.46354086931179 40.09211638766685)
0,POINT (-86.2524567686364 40.06010372467919)
1,POINT (-86.62055285304116 40.07888590954446)
2,POINT (-86.29800437858098 40.114450042298614)
3,POINT (-86.3493579218353 40.09318100931978)
0,POINT (-86.59607533810475 40.09088560806045)
1,POINT (-86.27870128207009 40.03128610437392)
2,POINT (-86.30332917039358 40.00716289496327)
3,POINT (-86.55253505993639 39.951996300139164)
0,POINT (-86.577943444881 40.08605733304897)
1,POINT (-86.50787565313254 39.95497919786074)
0,POINT (-86.63039011493434 40.13568864273079)
1,POINT (-86.5164866057611 40.14224242775056)
2,POINT (-86.4116800731689 39.980934707652565)
3,POINT (-86.38651609775134 40.01886337447234)
0,POINT (-86.30942251378985 40.00011079657193)
1,POINT (-86.51008378412874 40.04018714149678)
2,POINT (-86.46783682942 40.00619514478152)
0,POINT (-86.27365166510593 39.93486806079444)
0,POINT (-86.25797116385094 40.12838014605892)
0,POINT (-86.5172857422114 39.9418357857638)
0,POINT (-86.69084708242373 40.054656200932456)
1,POINT (-86.25638751601323 40.06521364677215)
2,POINT (-86.53170997527785 39.973474164359644)
0,POINT (-86.3036755783941 40.10977115361514)
1,POINT (-86.33400006064669 40.071925365580775)
0,POINT (-86.24872400900888 40.037976977009016)
1,POINT (-86.67963368023877 40.08475264626801)
0,POINT (-86.30644995680542 39.976000427322845)
1,POINT (-86.34784030190461 40.17256693035665)
0,POINT (-86.57682503724222 40.09205075383035)
1,POINT (-86.48139186052606 40.07489659786654)
0,POINT (-86.4390706500893 39.9635080244888)
1,POINT (-86.65356436957468 40.10853932351406)
2,POINT (-86.57214272356113 39.94630159895536)
0,POINT (-86.6392918487883 40.16470741604531)
1,POINT (-86.35511808712592 40.10995708309054)
2,POINT (-86.37236349269989 40.14506805080789)
3,POINT (-86.47490952584222 40.0742562630765)
0,POINT (-86.60409040516474 40.06238356812462)
1,POINT (-86.5698541070941 40.06683864791773)
2,POINT (-86.35663382957948 40.0404102058051)
0,POINT (-86.5371870988141 40.02224766177444)
0,POINT (-86.41249519534055 40.148804416381715)
1,POINT (-86.34041473648777 40.0894091346776)
0,POINT (-86.50322205955449 40.02301045277088)
1,POINT (-86.49451567977349 40.02912436606285)
2,POINT (-86.61953313380099 40.04246758170937)
3,POINT (-86.63776038683362 40.166150347457524)
0,POINT (-86.26599265302293 39.92721201361166)
1,POINT (-86.51457997210595 40.06996261788093)
0,POINT (-86.66209508987204 40.058148001579816)
1,POINT (-86.39639453717989 40.1048334929799)
2,POINT (-86.5415791536138 40.00876495612407)
3,POINT (-86.40317038385882 40.1461918977209)
0,POINT (-86.51840279935523 40.060144371819426)
1,POINT (-86.35598309026955 40.10589582895298)
2,POINT (-86.47812969727832 40.1338207436772)
0,POINT (-86.30829726305373 39.97718585284218)
0,POINT (-86.69368321098166 40.109614406775485)
1,POINT (-86.29295898584918 40.080779308393026)
0,POINT (-86.60836716882154 39.99822790505875)
0,POINT (-86.54880534440464 40.01332285973798)
1,POINT (-86.24955038304188 39.9951594771984)
2,POINT (-86.60836080873459 39.99323601739234)
0,POINT (-86.09569930196874 39.231170406116114)
0,POINT (-86.38459062022521 40.63668228160167)
0,POINT (-86.75427808031809 40.604782754464345)
0,POINT (-86.33235638554734 40.79699098890657)
0,POINT (-86.2077964521161 40.71921797374278)
0,POINT (-85.74792061158209 38.29862265006643)
1,POINT (-85.92748793021845 38.4321423397658)
0,POINT (-85.77357206245723 38.29494740710426)
0,POINT (-85.62011020910124 38.486367837322874)
0,POINT (-85.61610604853246 38.45205093102861)
0,POINT (-85.68858613214302 38.30666535077314)
0,POINT (-85.46971260931404 38.51032506647075)
1,POINT (-85.71493103050551 38.53587760809342)
0,POINT (-85.69860981093248 38.496600698526706)
0,POINT (-85.68825128386392 38.52364574154039)
0,POINT (-85.82683358753408 38.55314323339617)
0,POINT (-85.87859127238362 38.42423068044941)
1,POINT (-85.63669904670672 38.42840469902054)
0,POINT (-85.78342321814495 38.30529561773868)
1,POINT (-85.61542808969008 38.46170311535734)
0,POINT (-85.66433308456891 38.51348472630807)
0,POINT (-85.80989701901464 38.5752194088853)
0,POINT (-85.63824181585427 38.55306462163496)
0,POINT (-85.62887915213244 38.59165662938307)
1,POINT (-85.72953238256348 38.399205848868434)
0,POINT (-85.84560424449917 38.51240080529194)
1,POINT (-85.44876270620162 38.572964313199904)
0,POINT (-85.74247041576847 38.42462096453738)
1,POINT (-85.84313620924252 38.4832599805867)
0,POINT (-85.94076312825261 38.46678534375146)
0,POINT (-85.75300116646055 38.302413488023504)
0,POINT (-85.74267972642814 38.44897589030135)
1,POINT (-85.78549830666046 38.315753807910916)
0,POINT (-85.65119487785107 38.4775410538471)
0,POINT (-85.79725871661311 38.49271565773191)
0,POINT (-85.66728829582543 38.372044984238165)
0,POINT (-85.68163731770944 38.57929780430326)
1,POINT (-85.92139670929663 38.41216457025983)
0,POINT (-85.63058235848911 38.49077100674548)
1,POINT (-85.85029413172917 38.51748290357757)
0,POINT (-85.94482304237123 38.4982571370962)
1,POINT (-85.6419440648144 38.53822648525853)
0,POINT (-85.826076379595 38.408975742547256)
1,POINT (-85.57843651153655 38.50213607752487)
0,POINT (-85.80773145599674 38.489538180167585)
0,POINT (-85.66498852259613 38.53397682839716)
1,POINT (-85.73242378138072 38.439830083332886)
0,POINT (-85.66333336451561 38.51650431389443)
0,POINT (-85.47663857604068 38.5437835551407)
1,POINT (-85.73540578496015 38.385270640762904)
0,POINT (-85.50565367279806 38.471619723108496)
0,POINT (-85.65423573216383 38.44337824209487)
0,POINT (-85.760382599022 38.292130688759975)
0,POINT (-85.91045764599278 38.435694377879386)
1,POINT (-85.81991196698755 38.497795145654734)
0,POINT (-85.75026831886692 38.37155415365254)
0,POINT (-85.43483928538667 38.56791928869574)
1,POINT (-85.69709510472791 38.36458816483456)
0,POINT (-85.99349851599885 38.4278384210336)
1,POINT (-85.68430183986075 38.60236313475437)
0,POINT (-85.6532512002517 38.53868018909743)
1,POINT (-85.9920859053898 38.41959974633567)
0,POINT (-85.74576318004198 38.39149601215434)
0,POINT (-85.6535394286721 38.57642942150211)
0,POINT (-85.95207752991716 38.438236632162265)
0,POINT (-85.43521281866019 38.55912566395903)
1,POINT (-85.67889855961829 38.43534948037937)
0,POINT (-85.68096061285824 38.47672767383733)
1,POINT (-85.81109176009754 38.49808760896571)
0,POINT (-85.95999675923544 38.460073904750125)
0,POINT (-85.7520294553883 38.52143264344858)
0,POINT (-85.45806063211207 38.51515904274173)
0,POINT (-85.63053868003594 38.58674294272251)
1,POINT (-85.66672111903036 38.315981282716)
0,POINT (-85.74154201281456 38.41095234822917)
0,POINT (-85.5649128177671 38.60380405424139)
1,POINT (-85.72319196133527 38.455276900475646)
0,POINT (-85.73576306312175 38.34911245338404)
1,POINT (-85.8853497117795 38.410464849990724)
0,POINT (-85.8434732427307 38.41471682646858)
0,POINT (-85.5083715757197 38.55120701434183)
1,POINT (-85.54291912236181 38.507645892595164)
0,POINT (-85.67840983837797 38.32711936623883)
0,POINT (-85.8440217076461 38.45982903087306)
0,POINT (-85.57982607403238 38.518486024759156)
1,POINT (-85.69592071627558 38.451823383158114)
0,POINT (-85.5626198645558 38.46961988867024)
0,POINT (-85.74439249101513 38.35538222242298)
1,POINT (-85.5247430896486 38.49615177384581)
0,POINT (-85.61760394868243 38.515564257953514)
0,POINT (-85.61751267334888 38.4382747469366)
0,POINT (-85.73640190687898 38.46487826602197)
1,POINT (-85.83444420969929 38.54490795109982)
0,POINT (-85.72110046294884 38.322656731710865)
0,POINT (-85.46941902979822 38.582254744925784)
0,POINT (-85.91700959822123 38.4227467988141)
1,POINT (-85.64812135432607 38.467533061761785)
0,POINT (-85.62832055710643 38.5452431683397)
1,POINT (-85.79864620890731 38.5490133052014)
0,POINT (-87.16818976268685 39.211573208326286)
0,POINT (-87.06089203495182 39.215947954791226)
0,POINT (-87.19761992529874 39.31064086611559)
0,POINT (-87.03420333278034 39.51728329839808)
0,POINT (-86.28234321484611 40.283207246381316)
1,POINT (-86.54548310679313 40.353024529795164)
0,POINT (-86.68406655871179 40.202866283061375)
0,POINT (-86.33176221800701 38.1898377052763)
0,POINT (-86.37959881802072 38.34655188188954)
0,POINT (-87.0446771568966 38.84141038142141)
0,POINT (-86.94402536295793 38.52944502000415)
0,POINT (-87.03947560282256 38.5472106676041)
0,POINT (-86.96764977373628 38.852103514144176)
0,POINT (-86.93297697655726 38.71569467070278)
0,POINT (-87.11263215852038 38.72352602363775)
0,POINT (-85.00485447193992 38.98741315035501)
0,POINT (-85.07076784264025 39.00091711159307)
0,POINT (-85.00852506524397 39.07585848121089)
1,POINT (-85.0108138467623 39.1634070402303)
2,POINT (-84.88933328086951 39.29620271159638)
0,POINT (-84.89848296198019 39.16798325288648)
0,POINT (-85.11584190299239 38.98626918613217)
1,POINT (-84.92353300280817 39.041532524407)
0,POINT (-84.86715337153807 39.18079780699631)
1,POINT (-84.87930649554015 39.2146365015698)
0,POINT (-84.9910834831269 39.244499136075056)
1,POINT (-84.82455792246523 39.14637739144224)
0,POINT (-85.05900007061913 39.29146308717905)
1,POINT (-85.08931853374762 39.00780137044042)
2,POINT (-85.05753802347074 39.288040748745544)
0,POINT (-84.98647259263015 39.28695851352386)
1,POINT (-84.92955787579082 39.18752481782812)
0,POINT (-85.11449324068131 39.01864558509536)
1,POINT (-85.07356745186617 38.951553094696884)
0,POINT (-84.98729694607707 39.146519546912764)
1,POINT (-84.97326965789027 39.04902714433455)
0,POINT (-84.91687000059217 39.28454371786474)
1,POINT (-85.09432715018426 38.94914230411904)
0,POINT (-85.07330606587838 38.999997100546324)
0,POINT (-84.90499220822929 39.14594820209623)
1,POINT (-85.1173213742234 38.94512354405437)
2,POINT (-84.90588784575017 39.06906463028266)
0,POINT (-85.01403889798807 39.274759264394355)
0,POINT (-84.85101601418963 39.29750687821742)
1,POINT (-85.00718546882206 39.06877797906372)
0,POINT (-84.95957025555697 39.128139739621595)
1,POINT (-84.89672642350021 39.07107464547457)
2,POINT (-84.931670389127 39.12726137138206)
0,POINT (-85.03236780391093 39.25715431071232)
0,POINT (-84.89325998231313 39.18799352693216)
0,POINT (-84.91417156247317 39.09777059202081)
1,POINT (-85.02344835146613 39.18127952328104)
0,POINT (-84.98424595440245 39.10245604437739)
1,POINT (-85.04726121038384 39.14395502269439)
0,POINT (-84.99626262623583 39.112704871661045)
1,POINT (-84.94039678614904 39.26706945884199)
0,POINT (-85.05840717146853 39.26782331593876)
1,POINT (-84.83040251621362 39.13010149864282)
2,POINT (-85.01015945399861 39.260183659759036)
0,POINT (-84.94775198995906 39.24274368298596)
1,POINT (-84.97628061329573 39.01351632582173)
2,POINT (-84.96247961527683 39.17109222160241)
0,POINT (-84.85572794589514 39.19565969777223)
1,POINT (-85.0252199476588 39.1537736175354)
0,POINT (-85.0243022339671 39.13118949959795)
0,POINT (-85.02638972847257 39.250221561751076)
1,POINT (-84.98161108027287 39.1021351692169)
0,POINT (-84.93578936789557 39.220095178353866)
1,POINT (-84.83692333364223 39.27023951682178)
2,POINT (-84.91777113870478 39.22079031467876)
0,POINT (-84.87404239263046 39.25842486847453)
0,POINT (-85.06858053109985 39.08525356109207)
0,POINT (-84.8323654121854 39.16894558685281)
1,POINT (-85.04942788640773 39.19269815608008)
2,POINT (-85.0115657907691 39.08974610607168)
0,POINT (-85.58016374535079 39.1907830736178)
1,POINT (-85.38223992372698 39.40607215721147)
0,POINT (-85.43138886618677 39.380689413444045)
1,POINT (-85.5416644587693 39.32257209500971)
0,POINT (-85.6567247389442 39.22307409028763)
1,POINT (-85.61726763445502 39.208943385342764)
0,POINT (-85.096489244572 41.45675430951957)
1,POINT (-84.98378875175713 41.311474663885434)
0,POINT (-84.91175473270971 41.4148014299048)
1,POINT (-85.05296598428507 41.42651359166682)
0,POINT (-84.90759590134637 41.31809742185144)
0,POINT (-84.87375045138435 41.389424972372126)
1,POINT (-85.17554114153423 41.28406681963835)
0,POINT (-85.05343603724084 41.401614503367696)
1,POINT (-84.93759155645378 41.354773459150955)
0,POINT (-84.96456152327457 41.28480079785083)
1,POINT (-85.0066645228009 41.402241326927495)
0,POINT (-84.84532636949338 41.51175608407706)
0,POINT (-85.53308175086977 40.08793787246276)
0,POINT (-85.25950352500357 40.29634500849177)
1,POINT (-85.49890569441709 40.29368964488681)
2,POINT (-85.47082282826032 40.15835852500273)
0,POINT (-85.32889525121959 40.17326010347692)
0,POINT (-85.36362978899858 40.30942682690541)
0,POINT (-85.34695496754568 40.24914394752521)
1,POINT (-85.37148668023892 40.33537811549396)
0,POINT (-85.3810958928108 40.1472433502345)
1,POINT (-85.27412663278415 40.350387253072924)
2,POINT (-85.23805041245036 40.30735390955134)
0,POINT (-85.42668371455275 40.22707422455447)
1,POINT (-85.56986021829047 40.33552986816307)
2,POINT (-85.30142791219185 40.2257194326927)
3,POINT (-85.38254337980047 40.29175893132493)
0,POINT (-85.49520693714804 40.30078866918422)
0,POINT (-85.25649010098074 40.16313947461804)
1,POINT (-85.26230515812391 40.23173000882664)
2,POINT (-85.57445345549792 40.347734558324085)
0,POINT (-85.36177668440949 40.09969361031768)
1,POINT (-85.24750851433383 40.37055952117127)
2,POINT (-85.22394393223888 40.14118195847845)
0,POINT (-85.32381172165451 40.125668262262344)
1,POINT (-85.22588362133752 40.086249173777176)
2,POINT (-85.45483344652769 40.26158888378246)
0,POINT (-85.34886796152644 40.07826890553001)
1,POINT (-85.33767036842376 40.193419663713584)
2,POINT (-85.41572188649022 40.09058896762792)
0,POINT (-85.37886301247893 40.33861645825276)
1,POINT (-85.25901723796763 40.234754206584924)
2,POINT (-85.53001623789865 40.24670841026084)
0,POINT (-85.23526035581384 40.27285252830472)
1,POINT (-85.21763011122643 40.16272919149414)
0,POINT (-85.2308063359539 40.202563951472285)
1,POINT (-85.31693984061134 40.14051298614126)
2,POINT (-85.35998535456872 40.26000378380987)
3,POINT (-85.44289570353551 40.25345307788279)
0,POINT (-85.42047278368925 40.36091158560145)
1,POINT (-85.5293022874981 40.25770554724765)
2,POINT (-85.3899897929757 40.2587445743149)
0,POINT (-85.39500294897616 40.22512385814153)
0,POINT (-85.39214326439125 40.10820995082467)
1,POINT (-85.39129573715255 40.21065344339162)
0,POINT (-85.45698487163192 40.19203283107545)
1,POINT (-85.5186170821514 40.129932679837985)
2,POINT (-85.55402933753662 40.307229302416864)
0,POINT (-85.31052351634881 40.17288960410507)
1,POINT (-85.51919026780999 40.2370565474284)
0,POINT (-85.48858596125437 40.27367868737637)
0,POINT (-85.35052221227181 40.299783326772015)
0,POINT (-85.5565140134266 40.25693432286353)
1,POINT (-85.41962433760641 40.1873259841383)
0,POINT (-85.40205103732569 40.08610461191108)
1,POINT (-85.5417451365922 40.3092134999387)
2,POINT (-85.2508885755038 40.269079999243026)
3,POINT (-85.35587902566886 40.16430749460964)
0,POINT (-85.5493877499067 40.16745003027671)
0,POINT (-85.3711674211076 40.232370241989805)
1,POINT (-85.27965469208384 40.35424054543279)
2,POINT (-85.23387313036523 40.24570141328039)
0,POINT (-85.4537149133862 40.27413830492512)
1,POINT (-85.39653832985786 40.323177324573564)
0,POINT (-85.53013817919965 40.1136529326477)
1,POINT (-85.45723809463021 40.35317139168186)
2,POINT (-85.39401876764452 40.23635187986638)
0,POINT (-85.53413952802528 40.21012968974208)
1,POINT (-85.50577822391976 40.335495589840946)
2,POINT (-85.55731875363799 40.22563309896039)
0,POINT (-85.50107145553369 40.14110591006825)
1,POINT (-85.51177484195058 40.10679589090312)
0,POINT (-85.33684435477255 40.0811082058717)
1,POINT (-85.28031765711376 40.363092549779)
0,POINT (-85.3785835886335 40.20582733965895)
0,POINT (-85.28069152207583 40.15487852782311)
1,POINT (-85.5287084330693 40.296436131471815)
2,POINT (-85.45694033871322 40.151178516244535)
3,POINT (-85.56698551015667 40.23769809430551)
0,POINT (-85.50618981622833 40.31381050358147)
1,POINT (-85.38822868405359 40.37184014176555)
2,POINT (-85.5551992925568 40.183298903497835)
0,POINT (-85.3736381021853 40.24557248237999)
1,POINT (-85.53376852660917 40.08894014181017)
0,POINT (-85.29203637573353 40.211445021460726)
1,POINT (-85.2994054536588 40.14086820050722)
0,POINT (-85.45831076694225 40.130009796761726)
1,POINT (-85.39101634862789 40.30846012050483)
2,POINT (-85.37187724856716 40.16633752741637)
3,POINT (-85.29129367433346 40.231958345296256)
0,POINT (-85.30925874415506 40.29077486111498)
1,POINT (-85.22722089544217 40.25083634186503)
0,POINT (-85.28416577774759 40.24315235809987)
1,POINT (-85.36750166656508 40.293103955602646)
0,POINT (-85.54291397794168 40.23123432234287)
0,POINT (-85.39250525827204 40.247721240329106)
1,POINT (-85.27081964743488 40.18039820540677)
2,POINT (-85.2900139203027 40.28985985906675)
0,POINT (-85.47224921273313 40.190310570676665)
0,POINT (-85.28498872537439 40.11809378464182)
1,POINT (-85.42928757896256 40.20096890577392)
0,POINT (-85.2333514921247 40.30161178839239)
1,POINT (-85.32393037875369 40.223769601397024)
0,POINT (-85.47960348252208 40.091468241135836)
1,POINT (-85.23972437064286 40.35059384307009)
0,POINT (-85.27433553067468 40.343628956679105)
1,POINT (-85.38961004907766 40.31371908596376)
2,POINT (-85.23159593808624 40.35085013663146)
0,POINT (-85.48938155421966 40.171154306775186)
1,POINT (-85.32478689539224 40.37594127468133)
0,POINT (-85.47879610177958 40.31056599741396)
0,POINT (-85.23140286339488 40.300053413452254)
1,POINT (-85.44104146699061 40.317951657627034)
2,POINT (-85.35980231775123 40.23409386833448)
0,POINT (-85.23748921448085 40.21578884032705)
1,POINT (-85.46144286726113 40.34723446477338)
2,POINT (-85.42868666186682 40.3420850205617)
3,POINT (-85.4618967569372 40.256787203725516)
0,POINT (-85.46124466480849 40.370627574839766)
0,POINT (-85.45519423845697 40.25833416224659)
1,POINT (-85.41108713759401 40.28439148393918)
2,POINT (-85.56777101843078 40.340678998916324)
