WKT,Fire_Station_ID_Hazus,Facility_Name,Address,City,ZIP_Code,Contact_Person,Telephone_Number,Year_Facility_was_Built,Facility_Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.6946788920331 41.6217790926261)",IN000035,La Porte Fire Dept,105 Boyd Blvd,La Porte,46350-3961, , ,,618, ,{7C3C6D7B-B0D9-41CD-96E0-81D03B4BD7C0},-86.6946788920331,41.6217790926261
"POINT (-85.5007063819663 40.314749338372)",IN000039,Gaston Fire Dept,105 N Sycamore St,Gaston,47342-0000, , ,,618, ,{B1C32004-67B0-4DF3-AB74-888E151EC748},-85.5007063819663,40.314749338372
"POINT (-85.9228885262398 39.2090903954766)",IN000067,Fire Prevention Bureau,1101 Jackson St,Columbus,47201-5771, , ,,618, ,{80D30E09-D6F9-4542-961A-5FF6D9169917},-85.9228885262398,39.2090903954766
"POINT (-85.5943962246092 40.1133994959103)",IN000049,Chesterfield Union Twnshp Fire,107 E Main St,Chesterfield,46017-1212, , ,,618, ,{7350B13A-AA7A-46B9-BAF9-C4DB6A5893C2},-85.5943962246092,40.1133994959103
"POINT (-87.3234871699263 40.6178481717999)",IN000050,Fowler Fire Dept,107 N Washington Ave,Fowler,47944-1166, , ,,618, ,{70619C3F-B496-4195-9A01-ECEC7A42F552},-87.3234871699263,40.6178481717999
"POINT (-85.0901267873352 39.5631186159738)",CO739127,Everton Fire Dept,5475 S State Road 1,Connersville,47331-9448, , ,,618,County Approved,{4FA2FB63-E74A-4DA8-9485-CB06E29B39BC},-85.0901267873352,39.5631186159738
"POINT (-85.2426761922046 39.7450588610792)",CO739128,BENTONVILLE VOLUNTEER FIRE DEPT,5448 W  CR 700 N,BENTONVILLE,47322, , ,,618,County Approved,{D62C68D2-7DFA-4A8A-9688-BE7898C3FCCF},-85.2426761922046,39.7450588610792
"POINT (-86.4189590320545 39.6973001669991)",IN000052,Plainfield Fire Dept,1075 W Main St,Plainfield,46168-9454, , ,,618, ,{74AADE45-DA44-41BC-8FAA-3F17B859DF6E},-86.4189590320545,39.6973001669991
"POINT (-86.3950066380909 40.4793284999736)",IN000054,Burlington Fire Dept,108 W 8th St,Burlington,46915-0000, , ,,618, ,{0A08A91A-4B22-4A0A-92CA-5DB80021D70B},-86.3950066380909,40.4793284999736
"POINT (-85.2998867471685 39.6244990929079)",CO739129,Glenwood Volunteer Fire Department,105 N. Main St,Glenwood,46133, , ,,618,County Approved,{5675A1F6-4E1E-4CA2-9777-10EA324F93CB},-85.2998867471685,39.6244990929079
"POINT (-85.1379065857027 39.6766086021287)",CO739130,Connersville Fire Dept St #2,3502 N Western Ave,Connersville,47331, , ,,618,County Approved,{F04BBAA7-170A-4D6B-BDB9-E598CD82395F},-85.1379065857027,39.6766086021287
"POINT (-85.1247266785274 39.6388286078358)",CO739131,Connersville Fire Dept St #3,124 S Fountain St.,Connersville,47331, , ,,618,County Approved,{8C767856-C2E9-452F-9EA4-75DD8EBC1B17},-85.1247266785274,39.6388286078358
"POINT (-85.8733481931198 38.3316690515654)",CO790680,Lafayette Fire Station #1,4002 Scottsville Rd. F.K.,Floyds Knobs,47119-9328, , ,,618,CountyApproved,{7A7A931E-7E41-4DF6-AFBF-995574878750},-85.8733481931198,38.3316690515654
"POINT (-85.8461882326979 38.3863891478594)",CO790687,Lafayette Fire Station #2,7783 Atkins Road F. K.,Lafayette, , , ,,618,CountyApproved,{C00424EC-6E1E-45AD-B92C-2964FAB13615},-85.8461882326979,38.3863891478594
"POINT (-85.8067481485369 38.377269119572)",CO790683,New Chapel Fire Station #1,4211 Chapel Lane,NEW ALBANY,47150, , ,,618,CountyApproved,{F2CE3A12-1283-416E-A3CD-575A5A23C4EC},-85.8067481485369,38.377269119572
"POINT (-85.8208580735328 38.3226090239245)",CO790679,New Albany Fire Station #2,3037 Grantline Rd.,New Albany,47150-2453, , ,,618,CountyApproved,{94E358C6-F140-405B-8348-38500C5D9916},-85.8208580735328,38.3226090239245
"POINT (-85.2903362445595 41.0450095208218)",IN000066,Fire Dept,11321 Aboite Center Rd,Fort Wayne,46814-5472, , ,,618, ,{76574532-5A46-485B-B6B3-DA40274B29CC},-85.2903362445595,41.0450095208218
"POINT (-86.1384056486115 39.6935501256568)",IN000068,Perry Township Fire Dept 661,1108 E Thompson Rd,Indianapolis,46227-4275, , ,,618, ,{0B5A7C09-8C4E-4A83-98B5-830C398AB185},-86.1384056486115,39.6935501256568
"POINT (-86.5209499803725 39.6891600058111)",IN000069,Clayton Fire Dept,111 E Kentucky St,Clayton,46118-9482, , ,,618, ,{6679DAE9-7D8A-41CC-BF82-01003D7A9C79},-86.5209499803725,39.6891600058111
"POINT (-85.9422551584184 39.9574717020428)",IN000083,Fishers Fire Station 92,11595 Brooks School Rd,Fishers,46038-9744, , ,,618, ,{3FD1E821-685C-4AF7-9F74-43EA4262F964},-85.9422551584184,39.9574717020428
"POINT (-85.9735783471826 38.2951089948279)",CO790688,Georgetown Fire Station #1,8910 SR 64 Georgetown,Georgetown, , , ,,618,CountyApproved,{6079705C-A8CD-449A-B8AF-AE4635E3B010},-85.9735783471826,38.2951089948279
"POINT (-85.8103079908865 38.2890289620836)",CO790689,New Albany Fire Station #1,1219 E. Main St.,New Albany,47150, , ,,618,CountyApproved,{1E5B5DD9-38EF-4279-B937-62D96AA121CC},-85.8103079908865,38.2890289620836
"POINT (-85.9093681921339 38.2814089592223)",CO790682,Georgetown Fire Station #2,"5610 Corydon Ridge Rd.
",GEORGETOWN,47122, , ,,618,CountyApproved,{CF3543FB-246D-4B91-84BA-33F555FD0F4F},-85.9093681921339,38.2814089592223
"POINT (-85.9393583475668 38.3517191066266)",CO790684,Greenville Fire Station #2,7020 US 150 Greenville,Greenville,47124, , ,,618,CountyApproved,{3B99904C-2ECB-49B1-88B5-AF4520C97465},-85.9393583475668,38.3517191066266
"POINT (-85.8199380067839 38.2865589585579)",CO790690,New Albany Fire Station #3,316 E. Spring St.,New Albany,47150, , ,,618,CountyApproved,{863E50F0-98D1-4F00-83FB-DB2E1FD4B05D},-85.8199380067839,38.2865589585579
"POINT (-86.8384869314282 40.5100982315629)",IN000075,Tippecanoe Township VFD Bus,112 North St,Battle Ground,47920-9774, , ,,618, ,{45C66A1F-DF34-4A61-A74B-CD3FA6B2CB5D},-86.8384869314282,40.5100982315629
"POINT (-86.1548163433896 39.7535510567265)",IN000080,Indianapolis Fire Dept,1147 Madison Ave,Indianapolis,46225-1655, , ,,618, ,{8092CEBA-343E-44F8-B0E2-665A4C05CF98},-86.1548163433896,39.7535510567265
"POINT (-86.8979187759496 41.4284587783312)",IN000084,Wanatah Fire Dept,118 W 2nd,Wanatah,46390-0000, , ,,618, ,{D00F1C33-C3BF-48DA-A8F7-716E7F4D6248},-86.8979187759496,41.4284587783312
"POINT (-85.7061279911114 41.6757997552458)",IN000085,Middlebury Fire Dept,117 N Main St,Middlebury,46540-9085, , ,,618, ,{2CB037F0-94F4-4FDA-AADE-58950156E713},-85.7061279911114,41.6757997552458
"POINT (-86.9025497884356 41.7182101367261)",IN000087,Michigan City Fire Dept,117 W 4th St,Michigan City,46360-3303, , ,,618, ,{5D53C099-F443-468C-B789-B4203788708E},-86.9025497884356,41.7182101367261
"POINT (-86.7256464400136 40.2469981245659)",IN000088,Clarks Hill Fire Dept,11749 Silver St,Clarks Hill,47930-0000, , ,,618, ,{5E8FE6B7-843C-4CF1-A225-D95C88C00930},-86.7256464400136,40.2469981245659
"POINT (-84.9776465172155 40.4383191583063)",IN000089,Jayland Rescue Mission,119 E North St,Portland,47371-1405, , ,,618, ,{5ABFCF25-5EF4-4C8F-A6D4-AF274FE40B62},-84.9776465172155,40.4383191583063
"POINT (-84.9651659137718 40.6482292641498)",IN000101,Berne Fire Dept,1230 Parkway St,Berne,46711-2401, , ,,618, ,{B2BE456D-21E7-4933-91CC-260C99E37D16},-84.9651659137718,40.6482292641498
"POINT (-85.4240066411632 41.395319807293)",IN000102,Albion Fire Dept,124 S Orange St,Albion,46701-1127, , ,,618, ,{EC7E925C-148F-451E-8408-C59B945E764C},-85.4240066411632,41.395319807293
"POINT (-85.9924384699538 38.3738091678986)",CO790681,Greenville Fire Station #1,9056 Harrison St. Greenville,Greenville,47124-0121, , ,,618,CountyApproved,{90039A7B-C041-4922-A5E0-CB7AEC6185CF},-85.9924384699538,38.3738091678986
"POINT (-85.8369680759462 38.3054689958155)",CO790691,New Albany Fire Station #4,2207 Greenvalley Rd.,New Albany,47150, , ,,618,CountyApproved,{70173000-0752-4A06-A063-74BDC76619FD},-85.8369680759462,38.3054689958155
"POINT (-84.8723658698786 41.4296896785581)",IN000091,Butler City Fire Dept,120 W Main St,Butler,46721-1322, , ,,618, ,{110AD066-4CF6-4D35-B87F-26E2F6A055FA},-84.8723658698786,41.4296896785581
"POINT (-86.0134650283728 40.0443217887629)",IN000119,Noblesville Fire Dept,135 S 9th St,Noblesville,46060-2620, , ,,618, ,{96E4F135-CC91-483B-ADC3-99B710761B5B},-86.0134650283728,40.0443217887629
"POINT (-86.215557389185 41.0671767165427)",IN000096,Rochester Fire Dept,122 E 7th St,Rochester,46975-1310, , ,,618, ,{F31EE473-915C-4ED9-8C1F-69739F468512},-86.215557389185,41.0671767165427
"POINT (-85.7451865206813 40.0024399708268)",IN000097,Pendleton Fire Dept,122 E State St,Pendleton,46064-1027, , ,,618, ,{55C0BAD6-4E4F-4005-B71D-D6D720617C71},-85.7451865206813,40.0024399708268
"POINT (-85.8668080391089 38.2321388650565)",CO790685,New Chapel Fire Station #2,Gap Hollow Road,New Chapel, , , ,,618,CountyApproved,{62EEF6A2-1737-4E7E-AF58-D2CA23258F5E},-85.8668080391089,38.2321388650565
"POINT (-85.8061380281136 38.3136590054624)",CO790692,New Albany Fire Station #6,2571 Charlestown Rd.,New Albany,47150, , ,,618,CountyApproved,{A2EE40D1-FB2C-442D-930D-4E259B22E8FD},-85.8061380281136,38.3136590054624
"POINT (-85.6662172091456 39.4535993352014)",IN793318,Waldron Fire Dept,112 E Washington St,Waldron,46182-9448, , ,,2500, ,{DEFAEA7C-BD8F-4A4D-974C-8FBE9A68FC2C},-85.6662172091456,39.4535993352014
"POINT (-85.861028055145 38.2621389174432)",CO790686,New Chapel Fire Station #3,2511 Bud Road New Albany,New Chapel, , , ,,618,CountyApproved,{7C5D4A45-7B8E-47DA-8BB2-378D1F91B014},-85.861028055145,38.2621389174432
"POINT (-85.8177677697253 41.5660494025832)",IN000105,Goshen Fire Dept,1203 College Ave,Goshen,46526-5110, , ,,618, ,{E46D9A51-04BE-4B4D-AF1F-B25BADE36EBA},-85.8177677697253,41.5660494025832
"POINT (-85.2431160011397 40.9642794696477)",IN000112,Southwest Allen County Fire,12912 Indianapolis Rd,Yoder,46798-9733, , ,,618, ,{7653A7B1-EAC7-447C-A97A-9EB4C0B7AEAD},-85.2431160011397,40.9642794696477
"POINT (-86.0268559254584 40.2142495653153)",IN000114,Atlanta Volunteer,130 W Kauffman St,Atlanta,46031-0000, , ,,618, ,{B6D31239-05BE-4F5C-81A7-2BC0C8A0ABD6},-86.0268559254584,40.2142495653153
"POINT (-87.5753097645923 38.3583773924109)",CO773281,Gibson County Rescue Service,108 Mill St,Princeton,47670, , ,,618,CountyApproved,{2CECEB5D-E843-4146-AB71-44ACFBD80174},-87.5753097645923,38.3583773924109
"POINT (-87.5737996611056 38.2052274656977)",CO773270,Haubstadt Fire Dept,103 N Main St,Haubstadt,47639-8177, , ,,618,CountyApproved,{C47E773C-29FA-47CD-AE65-B9356821708D},-87.5737996611056,38.2052274656977
"POINT (-87.5860798419296 38.4098373840096)",CO773273,Patoka Fire Dept,201 Main Cross St,Patoka,47666-0000, , ,,618,CountyApproved,{B7BC9914-8B58-49FB-ABD5-262BD8C1B9F0},-87.5860798419296,38.4098373840096
"POINT (-87.5756297646791 38.3585773920673)",CO773271,Princeton City Fire Dept,500 N Embree St,Princeton,47670-1302, , ,,618,CountyApproved,{163BDD78-63AB-46DC-8B09-630E02A70674},-87.5756297646791,38.3585773920673
"POINT (-86.2707764557005 40.4174986579267)",IN000122,Russiaville Fire Dept,140 E Main,Russiaville,46979-0000, , ,,618, ,{BE0B019E-AB36-41F7-81F3-531105AB2797},-86.2707764557005,40.4174986579267
"POINT (-86.1325057120025 39.9124310689179)",IN000128,Washington Twp Fire Dept,1585 E 86th St,Indianapolis,46240-2392, , ,,618, ,{FFB90BF0-A701-4B53-970E-F434944A75B7},-86.1325057120025,39.9124310689179
"POINT (-85.5522461875033 40.1207594598346)",IN000123,Daleville Fire Dept,14010 W Daleville Rd,Daleville,47334-9637, , ,,618, ,{DB31AE86-0C1C-4852-BBA7-13815F5A4314},-85.5522461875033,40.1207594598346
"POINT (-86.2507469778755 39.7852910354339)",IN000130,Speedway Fire Administration,1410 N Lynhurst Dr,Speedway,46224-6407, , ,,618, ,{BBA15EA3-55DF-4E3F-B019-D06703ECE619},-86.2507469778755,39.7852910354339
"POINT (-87.5444799408815 38.4892874403824)",CO773272,Hazleton Fire Dept,108 Mill St,Hazleton,47640-0000, , ,,618,CountyApproved,{13C920F4-3DE2-4D5B-B508-9ED7E613640B},-87.5444799408815,38.4892874403824
"POINT (-87.3445596061675 38.3403076285779)",CO773274,Buckskin Volunteer Fire Dept,Harrison & Main (Rr3 Box 204a),Oakland City,47660-0000, , ,,618,CountyApproved,{75B37EC5-D1CF-4633-BE62-0BBB7E200026},-87.3445596061675,38.3403076285779
"POINT (-87.6086897592319 38.3432573583388)",CO773275,Princeton Sta 2,509 S White Church Rd,Princeton,47670-0000, , ,,618,CountyApproved,{FA369848-8C51-4B8E-B5C2-EBBD326D080D},-87.6086897592319,38.3432573583388
"POINT (-87.3575096063065 38.3341576149884)",CO773276,Columbia Township Volunteer Fire Dept,Rr 1 Box 297,Oakland City,47660, , ,,618,CountyApproved,{AE5A05BD-6E56-4CA7-8641-76CFFE3E4B73},-87.3575096063065,38.3341576149884
"POINT (-85.8513382891237 39.1954804547396)",IN000137,Clay Township Fire Dept,151 Della Rd,Columbus,47203-4222, , ,,618, ,{41291C90-B408-4C81-9ED4-8810BDAE9519},-85.8513382891237,39.1954804547396
"POINT (-86.8894298276116 41.7022201463712)",IN000139,Pine Twp Volunteer Fire Dept,1516 Maple St,Michigan City,46360-6620, , ,,618, ,{FF82403D-99B3-4B09-9E71-CCC61F949D14},-86.8894298276116,41.7022201463712
"POINT (-85.839926221244 40.2770291409462)",IN000141,Elwood Fire Dept,1601 Main St,Elwood,46036-2024, , ,,618, ,{17B6F3A9-246B-4BF2-A7B1-06768C206385},-85.839926221244,40.2770291409462
"POINT (-87.4455996559746 38.3324375229216)",CO773277,Francisco Volunteer Fire Dept,203 W Main St,Francisco,47649, , ,,618,CountyApproved,{951CF2CE-9661-49B3-8951-4572D2000FA5},-87.4455996559746,38.3324375229216
"POINT (-87.3778095400126 38.2770475943615)",CO773278,Somerville Volunteer Fire Dept,100 E Main St,Somerville,47683, , ,,618,CountyApproved,{B06E2A74-5DDE-4CFB-B5DF-3AF9BC4758BA},-87.3778095400126,38.2770475943615
"POINT (-87.3445596061675 38.3403076285779)",CO773279,Oakland City Fire Department,314 N Main St,Oakland City,47660-0000, , ,,618,CountyApproved,{880C4024-30B6-4BDF-B0B9-793B01F50839},-87.3445596061675,38.3403076285779
"POINT (-84.8485555121664 41.2435095937803)",IN000147,Grabil Vol Fire Dept,18701 State Road 37,Harlan,46743-7403, , ,,618, ,{F779F6D4-7FE9-4903-8719-BE27BDD0599D},-84.8485555121664,41.2435095937803
"POINT (-86.0013648805013 40.0274421219375)",IN000149,Noblesville Fire Dept,2101 Greenfield Ave,Noblesville,46060-4034, , ,,618, ,{0EB22B16-8533-4FC1-AC42-A57C3F55666C},-86.0013648805013,40.0274421219375
"POINT (-85.7695057015153 39.7841602145483)",IN000153,Greenfield Fire Dept,17 W South St,Greenfield,46140-2328, , ,,618, ,{5E617F32-262D-4DBB-B501-2E79D2C3410E},-85.7695057015153,39.7841602145483
"POINT (-86.8715167812176 40.3459080540294)",IN000154,Wea Twp Volunteer Fire Dept,1700 Wea School Rd,Lafayette,47909-9041, , ,,618, ,{09D09A17-8C70-4E93-B7F7-46A8088D0679},-86.8715167812176,40.3459080540294
"POINT (-86.4455595321846 38.3532493131583)",CO633677,English Fire Station,207 S Strawberry Ln,English, , , ,1994,704,"Updated by TPC, 9/29/05",{20B564B1-7570-4FD8-A58A-11B146B15FBD},-86.4455595321846,38.3532493131583
"POINT (-87.6860197030494 38.2687972879204)",CO773280,Owensville Vol Fire Department, ,Owensville, , , ,,618,CountyApproved,{8CEE79E8-6987-4E03-B281-E3B98CE2837A},-87.6860197030494,38.2687972879204
"POINT (-86.1514256538596 40.0413705618347)",IN000156,Westfield Fire Dept,17535 Dartown Rd,Westfield,46074-8969, , ,,618, ,{745C6095-D97F-4EF0-8D39-375D94A0D7AA},-86.1514256538596,40.0413705618347
"POINT (-86.8762175837793 40.0395187681616)",IN000158,Crawfordsville Fire Dept,1820 E Wabash Ave,Crawfordsville,47933-2648, , ,,618, ,{A4182707-2D6B-45D9-89FA-B6D5FB211760},-86.8762175837793,40.0395187681616
"POINT (-86.1281355322226 39.9661011241652)",IN000168,Carmel Fire Dept,2 Civic Sq,Carmel,46032-7543, , ,,618, ,{4089E070-13F9-4958-86C7-E8F5E4B6C3DD},-86.1281355322226,39.9661011241652
"POINT (-86.0190748955987 39.9623620735868)",IN000169,Fishers Fire Station 91,2 Municipal Dr,Fishers,46038-1574, , ,,618, ,{87675551-E7F3-4EF1-99EC-5F603E5C6023},-86.0190748955987,39.9623620735868
"POINT (-85.8313175761125 41.4933691870683)",IN000163,New Paris Fire Dept,19153 County Road 146,New Paris,46553-9100, , ,,618, ,{527E91CB-19FF-4BC1-A370-0FFE1CBA3B68},-85.8313175761125,41.4933691870683
"POINT (-85.9848683155443 38.2374688753178)",CO709756,LANESVILLE VOLUNTEER FIRE DEPARTMENT,7415 MAIN STREET,LANESVILLE,47136-8617, , ,,618,CountyApproved,{63DE019E-73B2-4FC0-B3FE-31486E0330A9},-85.9848683155443,38.2374688753178
"POINT (-85.9736482327361 38.1229686549721)",CO709758,ELIZABETH VOLUNTEER FIRE DEPARTMENT,5270 E WANUT STREET,ELIZABETH,47117-0028, , ,,618,CountyApproved,{69D6F752-5A2A-449E-8B71-088E45CE21D7},-85.9736482327361,38.1229686549721
"POINT (-86.1157153901454 40.0075712027139)",IN000165,Westfield Washington Twp Fire,1920 E 151st St,Carmel,46033-7734, , ,,618, ,{A0BD5CF3-0886-44E8-BF0E-D9F3CB78B32F},-86.1157153901454,40.0075712027139
"POINT (-85.170105390417 40.7398594346932)",IN000193,Bluffton Fire Dept,204 E Market St,Bluffton,46714-2114, , ,,618, ,{98CD28C5-055C-43D1-BDCE-7C58FC48916A},-85.170105390417,40.7398594346932
"POINT (-85.6744862871129 40.2616592141392)",IN000194,Alexandria Fire Communications,204 S Harrison St,Alexandria,46001-2422, , ,,618, ,{0D896DEF-EAD7-4CB7-9C07-64F550052A6D},-85.6744862871129,40.2616592141392
"POINT (-86.8906368672181 40.4175481017368)",IN000170,Lafayette Fire Dept,20 N 6th St,Lafayette,47901-1412, , ,,618, ,{F21AE6A6-4FB9-40DB-8F8D-01DBCE3F56F7},-86.8906368672181,40.4175481017368
"POINT (-86.1542662978127 39.7669910456831)",IN000174,Fire Chief's Office,200 E Washington St # 208,Indianapolis,46204-3307, , ,,618, ,{E6B0C735-1A25-44A8-BCF5-19BDA617AB3E},-86.1542662978127,39.7669910456831
"POINT (-85.1368162826718 41.3511897406693)",IN000176,Garrett City Fire Dept,200 N Cowen St,Garrett,46738-1151, , ,,618, ,{6324F926-294F-49E1-AC2C-EDA981AF6B15},-85.1368162826718,41.3511897406693
"POINT (-85.7801862302549 40.2214092753867)",IN000177,Frankton Fire Dept,200 Plum St,Frankton,46044-0000, , ,,618, ,{865E95C1-9B07-4F84-8470-DEC8114D9CDB},-85.7801862302549,40.2214092753867
"POINT (-86.1595185451649 38.0985585666155)",CO709759,HETH TOWNSHIP FIRE DEPARTMENT,7075 CENTRAL DR,CENTRAL,47110, , ,,618,CountyApproved,{46A04BC3-A096-4936-BB7B-0EC0D3213573},-86.1595185451649,38.0985585666155
"POINT (-86.1124387963801 38.4084492727042)",CO709760,PALMYRA FIRE DEPARTMENT,595 MAIN STREET,PALMYRA,47164, , ,,618,CountyApproved,{53B47BF0-593B-4002-8950-B9185A382A70},-86.1124387963801,38.4084492727042
"POINT (-86.1536287877319 38.3226790851443)",CO709757,RAMSEY VOLUNTEER FIRE DEPARTMENT,8325 MAPLE STREET NW,RAMSEY,47166-8552, , ,,618,CountyApproved,{99C4AA39-2234-4788-BE04-3F42F94FD8E1},-86.1536287877319,38.3226790851443
"POINT (-85.209176517625 40.3737593330061)",IN000182,Dunkirk Fire Dept,201 E Commerce St,Dunkirk,47336-1345, , ,,618, ,{2AD9674C-855D-47E9-BAD4-AE7B5D23BAEE},-85.209176517625,40.3737593330061
"POINT (-86.6728369644462 40.5864083629428)",IN000185,Delphi Police Dept,201 S Union St,Delphi,46923-1531, , ,,618, ,{E22F65F6-FD83-49CF-AE94-4CB1E4500C1C},-86.6728369644462,40.5864083629428
"POINT (-86.5136064194926 40.2816081048504)",IN000186,Frankfort Fire Chief,201 W Washington St,Frankfort,46041-1859, , ,,618, ,{9062D793-2D03-4225-9D43-1A3C033DE3C9},-86.5136064194926,40.2816081048504
